price,vendor_price,vendor_cost,sku,vendor_sku,qty,stock_qty,name,udropship_vendor,weight,categoryname,image,small_image,thumbnail,manufacturer,status,tax_class_id,visibility,short_description,description,custom_stock_status,hide_default_stock_status
5070,5070,4486,29994,29994,20,20,"BOTELLA BROTHER BT5001-C DCP-T300/T500/T700 5000PG",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/29994_medium.jpg,+https://www.prisa.cl/catalog/images/large/29994_medium.jpg,+https://www.prisa.cl/catalog/images/large/29994_medium.jpg,BROTHER,1,IVA,4,"BOTELLA BROTHER BT5001-C DCP-T300/T500/T700 5000PG","BOTELLA BROTHER BT5001-C DCP-T300/T500/T700 5000PG",Despacho en 24 hrs.,1
5070,5070,4486,29995,29995,20,20,"BOTELLA BROTHER BT5001-M DCP-T300/T500/T700 5000PG",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/29995_medium.jpg,+https://www.prisa.cl/catalog/images/large/29995_medium.jpg,+https://www.prisa.cl/catalog/images/large/29995_medium.jpg,BROTHER,1,IVA,4,"BOTELLA BROTHER BT5001-M DCP-T300/T500/T700 5000PG","BOTELLA BROTHER BT5001-M DCP-T300/T500/T700 5000PG",Despacho en 24 hrs.,1
5070,5070,4486,29996,29996,20,20,"BOTELLA BROTHER BT5001-Y DCP-T300/T500/T700 5000PG",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/29996_medium.jpg,+https://www.prisa.cl/catalog/images/large/29996_medium.jpg,+https://www.prisa.cl/catalog/images/large/29996_medium.jpg,BROTHER,1,IVA,4,"BOTELLA BROTHER BT5001-Y DCP-T300/T500/T700 5000PG","BOTELLA BROTHER BT5001-Y DCP-T300/T500/T700 5000PG",Despacho en 24 hrs.,1
6628,6628,5865,29993,29993,20,20,"BOTELLA BROTHER BT6001-BK DCP-T300/T500/T700 6000P",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/29993_medium.jpg,+https://www.prisa.cl/catalog/images/large/29993_medium.jpg,+https://www.prisa.cl/catalog/images/large/29993_medium.jpg,BROTHER,1,IVA,4,"BOTELLA BROTHER BT6001-BK DCP-T300/T500/T700 6000P","BOTELLA BROTHER BT6001-BK DCP-T300/T500/T700 6000P",Despacho en 24 hrs.,1
5122,5122,4532,27228,27228,20,20,"BOTELLA EPSON T664120 NG L120/L210/L355/L555/L1300",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/27228_medium.jpg,+https://www.prisa.cl/catalog/images/large/27228_medium.jpg,+https://www.prisa.cl/catalog/images/large/27228_medium.jpg,EPSON,1,IVA,4,"BOTELLA EPSON T664120 NG L120/L210/L355/L555/L1300","BOTELLA EPSON T664120 NG L120/L210/L355/L555/L1300",Despacho en 24 hrs.,1
5119,5119,4530,27229,27229,20,20,"BOTELLA EPSON T664220 CY L120/L210/L355/L555/L1300",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/27229_medium.jpg,+https://www.prisa.cl/catalog/images/large/27229_medium.jpg,+https://www.prisa.cl/catalog/images/large/27229_medium.jpg,EPSON,1,IVA,4,"BOTELLA EPSON T664220 CY L120/L210/L355/L555/L1300","BOTELLA EPSON T664220 CY L120/L210/L355/L555/L1300",Despacho en 24 hrs.,1
5119,5119,4530,27230,27230,20,20,"BOTELLA EPSON T664320 MG L120/L210/L355/L555/L1300",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/27230_medium.jpg,+https://www.prisa.cl/catalog/images/large/27230_medium.jpg,+https://www.prisa.cl/catalog/images/large/27230_medium.jpg,EPSON,1,IVA,4,"BOTELLA EPSON T664320 MG L120/L210/L355/L555/L1300","BOTELLA EPSON T664320 MG L120/L210/L355/L555/L1300",Despacho en 24 hrs.,1
5119,5119,4530,27231,27231,20,20,"BOTELLA EPSON T664420 Y L120/L210/L355/L555/L1300",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/27231_medium.jpg,+https://www.prisa.cl/catalog/images/large/27231_medium.jpg,+https://www.prisa.cl/catalog/images/large/27231_medium.jpg,EPSON,1,IVA,4,"BOTELLA EPSON T664420 Y L120/L210/L355/L555/L1300","BOTELLA EPSON T664420 Y L120/L210/L355/L555/L1300",Despacho en 24 hrs.,1
9392,9392,8311,27252,27252,20,20,"BOTELLA EPSON T673120 NG L800/L810/L1800",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/27252_medium.jpg,+https://www.prisa.cl/catalog/images/large/27252_medium.jpg,+https://www.prisa.cl/catalog/images/large/27252_medium.jpg,EPSON,1,IVA,4,"BOTELLA EPSON T673120 NG L800/L810/L1800","BOTELLA EPSON T673120 NG L800/L810/L1800",Despacho en 24 hrs.,1
9395,9395,8314,27253,27253,20,20,"BOTELLA EPSON T673220 CY L800/L810/L1800",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/27253_medium.jpg,+https://www.prisa.cl/catalog/images/large/27253_medium.jpg,+https://www.prisa.cl/catalog/images/large/27253_medium.jpg,EPSON,1,IVA,4,"BOTELLA EPSON T673220 CY L800/L810/L1800","BOTELLA EPSON T673220 CY L800/L810/L1800",Despacho en 24 hrs.,1
